,0
az_zcr,0.2607962139062871
ax_kurt,0.21104960340315487
ipi_cv,0.20480368192563864
ipi_std,0.19461847386562864
ay_kurt,0.17828383008771373
ax_band_4000_8000,0.14420552572661877
az_kurt,0.14241252508224864
az_band_4000_8000,0.13797468704483826
ay_band_4000_8000,0.11408558917455255
ax_min,0.10756450773030794
az_band_1000_2000,0.09772289382360427
az_iqr,0.09146307435354821
ay_band_0_200,0.0881847455723603
ax_zcr,0.08493228014655858
az_p10,0.08379378206359327
az_rms,0.08174796553594642
az_std,0.07373575866211544
corr_yz,0.06883263229202473
ay_zcr,0.06824363894211218
ay_iqr,0.06457124296595627
az_band_0_200,0.05978574824074502
az_max,0.05775198780140769
az_median,0.05774015037395376
ax_band_500_1000,0.05723965277323727
az_skew,0.05537072715013567
az_p90,0.05402061307950563
az_ptp,0.05219484402067813
ay_p10,0.051461946100679876
corr_xy,0.051021161097677015
corr_xz,0.05049725540674963
ax_rms,0.05017870483669049
ay_band_200_500,0.04930285222355511
az_band_500_1000,0.04915164369693224
ay_band_500_1000,0.04842678850954439
ax_ptp,0.04831274711463892
ay_band_1000_2000,0.04625410562425512
ax_skew,0.04622603241987031
ax_band_0_200,0.04589292651509547
ax_band_2000_4000,0.04101794818855829
az_band_2000_4000,0.03990531226292745
az_band_200_500,0.03906416353306721
az_envelope_rms,0.03830532148060047
ax_max,0.03673633916972174
ay_min,0.035336740555564225
ax_envelope_rms,0.033560682569650155
az_min,0.03259683150600291
ay_std,0.03230408197225896
ax_p10,0.03150742482333829
ay_max,0.03113731221078798
ax_std,0.030738686267336245
ay_p90,0.028166786083072593
ax_iqr,0.02771303003202914
ax_band_1000_2000,0.02652277752534544
rpm,0.025998232359686846
ay_envelope_rms,0.024340756737094193
ay_rms,0.024289974481472555
ay_band_2000_4000,0.02377462172838133
ax_median,0.02218884112232511
t_over_rpm,0.02153595897705348
ay_ptp,0.02076325880155173
ax_band_200_500,0.020275020828439193
ax_p90,0.01985334703286541
ay_median,0.01879315880484379
ay_skew,0.017620924857865195
pulse_count,0.01673781648567386
ipi_mean,0.01613890344181216
v_times_t,0.013751481769456553
velocita,0.011474772549671285
torque,0.0069050739898997345
v_sq,0.00432482269554314
t_sq,0.00391508179830794
az_mean,0.0024857338156978213
v_over_rpm,0.001874309663116369
ay_mean,0.0006771776136458518
ax_mean,-0.001165111744486469
